Number,Words,Image Description,Status,Priority Date,Class,Kind
 187554,,"DRAGON AND UNICORN,RAMPANT TOWER",registered:,05 May 1964 (Filing),32,Figurative
 187555,,DRAGON TOWER UNICORN,registered:,05 May 1964 (Filing),5,Figurative
 187557,NON ROMAN CHARACTERS,"CHARACTERS,CHINESE",registered:,05 May 1964 (Filing),32,Figurative
 187558,NON ROMAN CHARACTERS,"CHARACTERS,CHINESE",registered:,05 May 1964 (Filing),5,Figurative
 199332,TM,"BABY, CHERUB",registered:,22 Dec 1965 (Filing),30,Figurative
 233500,,"IMPELLER,MULTI-BLADE OR SHUTTER,CAMERA",registered:,23 Oct 1969 (Filing),7,Figurative
 308899,ANLAMB,0,registered:,07 Jul 1977 (Filing),31,Word
 349593,MONSOON,0,registered:,11 Aug 1980 (Filing),25,Word
 353390,TOTAL MULTAGRI TM,0,registered:,17 Nov 1980 (Filing),4,Word
 410616,POS-A-TRACTION,0,registered:,22 Jun 1984 (Filing),12,Fancy
 457217,AUSCAR,0,registered:,15 Dec 1986 (Filing),41,Word
 480690,ANCALF,0,registered:,03 Feb 1988 (Filing),31,Word
 483545,AUSCAR,"STRIPES,OBLIQUE & FLAG,AUSTRALIA",registered:,17 Mar 1988 (Filing),41,Figurative
 494992,AUSCAR,0,registered:,08 Sep 1988 (Filing),12,Word
 544656,GOODWRENCH,0,registered:,25 Oct 1990 (Filing),12,Word
 561551,S,SQUARE HALVED DIAGONALLY BY CURVED STRIPE FORMING LTR S,registered:,13 Aug 1991 (Filing),10,Figurative
 561552,S,SQUARE HALVED DIAGONALLY BY CURVED STRIPE FORMING LTR S,registered:,13 Aug 1991 (Filing),42,Figurative
 562338,"HENRY SCHEIN, INC.",0,registered:,27 Aug 1991 (Filing),5,Word
 562340,"HENRY SCHEIN, INC.",0,registered:,27 Aug 1991 (Filing),10,Word
 562341,"HENRY SCHEIN, INC.",0,registered:,27 Aug 1991 (Filing),42,Word
 582749,AUSCAR,0,registered:,17 Jul 1992 (Filing),25,Word
 588754,ASCOT,TRIANGLES FORM PATTERN ON BOOMERANG INCOMPLETE,registered:,20 Oct 1992 (Filing),25,Figurative
 610541,"HENRY SCHEIN, INC.",0,registered:,01 Sep 1993 (Filing),11,Word
 627219,BLACKSTONE,0,registered:,13 Apr 1994 (Filing),36,Word
 628225,MONSOON,0,registered:,22 Apr 1994 (Filing),3,Word
 629771,DENTRIX,0,registered:,21 Mar 1994 (Convention),9,Word
 680044,MEGA MART,0,registered:,06 Dec 1995 (Filing),"12,37",Word
 719685,WESTERN AUTO,0,registered:,15 Oct 1996 (Filing),12,Word
 721115,BOART LONGYEAR,0,registered:,05 Nov 1996 (Filing),"7,42",Word
 722849,G-STAR,0,registered:,27 Nov 1996 (Filing),"3,18,25",Word
 722852,G G-STAR,0,registered:,27 Nov 1996 (Filing),"3,18,25",Fancy
 732877,BOB JANE MEGA T-MART,0,registered:,23 Apr 1997 (Filing),"35,37",Word
 740196,TECHNO MARINE,0,registered:,28 Jan 1997 (Convention),14,Word
 744510,SOF TAP TM,VERTICAL STRIPES FROM DIVIDED RECT WITH SPIRAL,registered:,18 Sep 1997 (Filing),"2,7,8,35",Figurative
 746116,U.S. BRASS,0,registered:,10 Oct 1997 (Filing),25,Word
 749646,PROPERTY PRO TM,WORDS BREAK STYL HOUSE & 6 PARALLEL VERTICAL STRIPES,registered:,27 Nov 1997 (Filing),9,Figurative
 750945,toms tyres & brakes,0,registered:,15 Dec 1997 (Filing),37,Fancy
 750946,,"BLACK SHEEP,CARTOON,STANDING,SMILING",registered:,15 Dec 1997 (Filing),37,Figurative
 755789,CRUMPLER,"STICK-FIGURE,PERSON WITH HAIR STANDING ON ENDS",registered:,25 Feb 1998 (Filing),"18,25",Figurative
 790979,UMT,0,registered:,13 Apr 1999 (Filing),29,Word
 818570,FINEST DAIRY PRODUCTS UMT,GRAZING COW SURROUNDED BY ARCH ATOP RECTANGLE,registered:,23 Dec 1999 (Filing),29,Figurative
 819361,TM RACING,0,registered:,07 Jan 2000 (Filing),"12,25",Fancy
 843694,VIRTUALWHEELS,0,registered:,25 Jul 2000 (Filing),12,Word
 844610,ACCESSORIZE,0,registered:,31 Jul 2000 (Filing),"14,18,25,35",Word
 848071,TM 900 HIGH POWER,3 DASHES AND ARROWHEAD IN ARC,registered:,28 Aug 2000 (Filing),12,Figurative
 854989,ACCESSORIZE,0,registered:,27 Oct 2000 (Filing),"3,9,26,35",Word
 858469,GENEROSA TM,0,registered:,27 Nov 2000 (Filing),31,Word
 868511,NZMP,0,registered:,12 Mar 2001 (Filing),29,Word
 883102,UNI-PRO TM,0,registered:,19 Jul 2001 (Filing),"2,16",Fancy
 883618,G-STAR ORIGINALS RAW DENIM,0,registered:,11 Jul 2001 (Convention),25,Fancy
